"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,s,,,,,,,,B,B,KB,GB/s,,,,
2.017723,2.761600e-05,,,,,,,,,,256.000000,8.840550,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.017779,4.832000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [103]"
2.017787,4.256000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [109]"
2.017794,4.192000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [115]"
2.017801,3.968000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [121]"
2.017807,4.000000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [127]"
2.017814,3.968000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [133]"
2.017820,3.936000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [139]"
2.017827,4.000000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [145]"
2.017834,3.968000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [151]"
2.017840,4.000000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [157]"
2.017847,3.200000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [163]"
2.017853,3.168000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [169]"
2.017859,3.264000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [175]"
2.017864,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [181]"
2.017870,3.264000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [187]"
2.017876,3.136000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [193]"
2.017882,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [199]"
2.017888,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [205]"
2.017894,3.296000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [211]"
2.017900,3.296000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [217]"
2.017905,3.264000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [223]"
2.017911,3.168000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [229]"
2.017917,3.136000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [235]"
2.017923,3.136000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [241]"
2.017929,3.136000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [247]"
2.017934,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [253]"
2.017940,3.264000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [259]"
2.017946,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [265]"
2.017952,2.688000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [271]"
2.017958,3.168000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [277]"
2.017963,3.104000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [283]"
2.017969,3.200000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [289]"
2.017975,3.200000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [295]"
2.017981,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [301]"
2.017987,3.296000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [307]"
2.017992,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [313]"
2.017998,2.720000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [319]"
2.018004,2.720000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [325]"
2.018009,3.136000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [331]"
2.018015,3.136000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [337]"
2.018021,3.200000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [343]"
2.018026,3.200000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [349]"
2.018032,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [355]"
2.018038,3.296000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [361]"
2.018044,3.264000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [367]"
2.018050,2.720000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [373]"
2.018055,2.720000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [379]"
2.018061,2.784000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [385]"
2.018066,3.168000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [391]"
2.018072,3.104000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [397]"
2.018078,3.200000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [403]"
2.018084,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [409]"
2.018089,3.360000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [415]"
2.018095,3.328000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [421]"
2.018101,3.328000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [427]"
2.018107,2.784000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [433]"
2.018113,2.720000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [439]"
2.018118,2.784000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [445]"
2.018123,2.784000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [451]"
2.018129,3.104000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [457]"
2.018135,3.168000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [463]"
2.018140,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [469]"
2.018146,3.168000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [475]"
2.018152,3.264000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [481]"
2.018158,3.296000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [487]"
2.018164,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [493]"
2.018170,2.560000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [499]"
2.018175,2.720000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [505]"
2.018180,2.784000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [511]"
2.018186,2.720000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [517]"
2.018191,2.720000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [523]"
2.018196,3.104000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [529]"
2.018202,3.104000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [535]"
2.018208,3.168000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [541]"
2.018214,3.136000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [547]"
2.018219,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [553]"
2.018225,3.232000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [559]"
2.018231,3.264000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [565]"
2.018237,2.496000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [571]"
2.018242,2.528000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [577]"
2.018247,2.752000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [583]"
2.018253,2.816000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [589]"
2.018258,2.720000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [595]"
2.018263,2.720000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [601]"
2.018269,3.168000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [607]"
2.018274,3.168000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [613]"
2.018280,3.264000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [619]"
2.018286,3.200000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [625]"
2.018292,3.264000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [631]"
2.018298,3.296000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [637]"
2.018304,3.329000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [643]"
2.018310,2.464000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [649]"
2.018315,2.528000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K40c (0)","1","7","Bitonic_Sort(int*, int, int, int) [655]"
