"","GpuName","GpuId","L2","bandwith","Bus","Memoryclock","AppName","AppId","Input.Size","Device","Context","Stream","Kernel","Multiprocessor.Activity","Achieved.Occupancy","Executed.IPC","Issued.IPC","Instructions.per.warp","Branch.Efficiency","Warp.Execution.Efficiency","Warp.Non.Predicated.Execution.Efficiency","Instruction.Replay.Overhead","Issue.Slot.Utilization","Shared.Memory.Load.Transactions.Per.Request","Shared.Memory.Store.Transactions.Per.Request","Local.Memory.Load.Transactions.Per.Request","Local.Memory.Store.Transactions.Per.Request","Global.Load.Transactions.Per.Request","Global.Store.Transactions.Per.Request","Shared.Store.Transactions","Shared.Load.Transactions","Local.Load.Transactions","Local.Store.Transactions","Global.Load.Transactions","Global.Store.Transactions","Device.Memory.Read.Transactions","Device.Memory.Write.Transactions","Global.Hit.Rate","Local.Hit.Rate","Requested.Global.Load.Throughput","Requested.Global.Store.Throughput","Global.Load.Throughput","Global.Store.Throughput","Device.Memory.Read.Throughput","Device.Memory.Write.Throughput","Unified.Cache.Throughput","Local.Memory.Load.Throughput","Local.Memory.Store.Throughput","Shared.Memory.Load.Throughput","Shared.Memory.Store.Throughput","Global.Memory.Load.Efficiency","Global.Memory.Store.Efficiency","Unified.Cache.Transactions","Control.Flow.Function.Unit.Utilization","Texture.Function.Unit.Utilization","Load.Store.Function.Unit.Utilization","Double.Precision.Function.Unit.Utilization","Special.Function.Unit.Utilization","Single.Precision.Function.Unit.Utilization","Floating.Point.Operations.Double.Precision.","Floating.Point.Operations.Double.Precision.Add.","Floating.Point.Operations.Double.Precison.FMA.","Floating.Point.Operations.Double.Precision.Mul.","Floating.Point.Operations.Single.Precision.","Floating.Point.Operations.Single.Precision.Add.","Floating.Point.Operations.Single.Precision.FMA.","Floating.Point.Operation.Single.Precision.Mul.","Floating.Point.Operations.Single.Precision.Special.","Instructions.Executed","Instructions.Issued","Device.Memory.Utilization","Unified.Cache.Utilization","Shared.Memory.Efficiency","Shared.Memory.Utilization","FP.Instructions.Single.","FP.Instructions.Double.","Integer.Instructions","Bit.Convert.Instructions","Control.Flow.Instructions","Load.Store.Instructions","Misc.Instructions","Inter.Thread.Instructions","Issue.Slots","Issued.Control.Flow.Instructions","Executed.Control.Flow.Instructions","Issued.Load.Store.Instructions","Executed.Load.Store.Instructions","Atomic.Transactions","Atomic.Transactions.Per.Request","Issue.Stall.Reasons..Instructions.Fetch.","Issue.Stall.Reasons..Execution.Dependency.","Issue.Stall.Reasons..Data.Request.","Issue.Stall.Reasons..Texture.","Issue.Stall.Reasons..Synchronization.","Issue.Stall.Reasons..Other.","Issue.Stall.Reasons..Immediate.constant.","Issue.Stall.Reasons..Pipe.Busy.","Issue.Stall.Reasons..Memory.Throttle.","Issue.Stall.Reasons..Not.Selected.","System.Memory.Read.Transactions","System.Memory.Write.Transactions","L2.Read.Transactions","L2.Write.Transactions","ECC.Transactions","Local.Memory.Overhead","Unified.Cache.Hit.Rate","L2.Hit.Rate..Texture.Reads.","L2.Hit.Rate..Texture.Writes.","L2.Throughput..Texture.Reads.","L2.Throughput..Texture.Writes.","L2.Transactions..Texture.Reads.","L2.Transactions..Texture.Writes.","L2.Throughput..Reads.","L2.Throughput..Writes.","System.Memory.Read.Throughput","System.Memory.Write.Throughput","L2.Cache.Utilization","L2.Throughput..Atomic.requests.","L2.Transactions..Atomic.requests.","System.Memory.Utilization","ECC.Throughput","Eligible.Warps.Per.Active.Cycle","FLOP.Efficiency.Peak.Single.","FLOP.Efficiency.Peak.Double.","Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp0_write_tex_sector_queries","l2_subp1_write_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp0_write_tex_hit_sectors","l2_subp1_write_tex_hit_sectors","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","warps_launched","inst_issued0","inst_issued1","inst_issued2","inst_executed","thread_inst_executed","not_predicated_off_thread_inst_executed","local_store","local_load","shared_load","shared_store","shared_atom_cas","shared_atom","global_atom_cas","atom_count","gred_count","global_load","global_store","divergent_branch","branch","active_cycles","active_warps","active_ctas","sm_cta_launched","shared_ld_bank_conflict","shared_st_bank_conflict","shared_ld_transactions","shared_st_transactions","Start","Duration","Grid.X","Grid.Y","Grid.Z","Block.X","Block.Y","Block.Z","Registers.Per.Thread","Static.SMem","Dynamic.SMem"
"1289","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,256,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",96.572301,0.969212,3.314718,3.222927,5281,100,100,99.943193,0.000135,71.705893,0,0,0,0,6,8,0,0,0,0,6291456,16384,1860,122,58.333333,0,120.816215,1.258502,402.720717,2.517004,292.60177,19.192159,644.353147,0,0,0,0,30,50,4194304,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (8)",0,0,0,0,33554432,0,16777216,0,0,10815488,10816952,"Low (1)","High (7)",0,"Idle (0)",16777216,0,244121600,0,4325376,33619968,47054848,0,9626522,141312,141312,4210688,1058816,0,0,3.142926,24.085171,18.977702,0.166664,0,48.210074,0.036239,1.843624,0.219583,3.318016,0,5,2621511,16390,0,0,58.181818,100,100,402.720717,2.517004,2621440,16384,402.731624,2.517926,0,805.441406,"High (8)",0,0,"Low (1)",0,4.775676,3.718186,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",3153920,3153920,1318912,1318912,0,0,2,12,8,6,0,0,1310720,1310720,8192,8192,1310720,1310720,8192,8192,1310752,1310759,8192,8198,0,0,0,5,3375648,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,3474006,8436083,1190551,10815488,346095616,345899008,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,3265191,201889808,101179997,1024,0,0,1,1,0.238253,0.000172889,32,32,1,8,8,1,27,0,0
"1290","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,512,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",97.327155,0.978327,3.208126,3.192425,10529,100,100,99.971507,2.4e-05,71.040136,0,0,0,0,6,8,0,0,0,0,50331648,65536,62648,45524,58.333333,0,132.661465,707.527812,442.204883,1.38189,1.320994,982.955814,707.527813,0,0,0,0,30,50,33554432,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,268435456,0,134217728,0,0,86253568,86254781,"Low (1)","High (7)",0,"Idle (0)",134217728,0,1949564928,0,34078720,268697600,372768768,0,76776130,1089536,1089536,33619968,8429568,0,0,2.925092,25.037158,19.539364,0.257634,0,47.328073,0.008275,1.691657,0.167531,3.045216,0,5,21072145,65542,0,0,58.257477,99.7019,87.5,442.204883,1.38189,20971520,65536,444.326659,1.382017,0,110.550781,"High (8)",0,0,"Low (1)",0,4.652347,3.809693,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",25198592,25198592,10518528,10518528,31856,31228,22582,22716,22572,22629,31876,31860,10485760,10485760,32768,32768,10454428,10454324,28672,28672,10485792,10485799,32768,32774,0,0,4,1,27238048,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,30489649,67297475,9478638,86253568,2760114176,2759327744,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,26951322,1689637012,833464473,4096,0,0,0,0,0.239559,0.00140852,64,64,1,8,8,1,27,0,0
"1291","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,768,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.703963,0.988841,2.08709,2.065186,15777,100,100,99.980985,4e-06,45.9584,0,0,0,0,6,8,0,0,0,0,169869312,147456,1495418,98312,58.333333,0,89.647873,318.747992,298.826242,637.495983,6.313609,425.031908,478.121988,0,0,0,0,30,50,113246208,"Low (1)","Mid (5)","Low (1)","Idle (0)","Idle (0)","Mid (5)",0,0,0,0,905969664,0,452984832,0,0,290801664,290802874,"Low (1)","Mid (5)",0,"Idle (0)",452984832,0,6575947776,0,114425856,906559488,1253965824,0,258859711,3631104,3631104,113393664,28403712,0,0,1.524071,28.780429,21.741592,1.572795,0,44.046408,0.001617,1.038559,0.133044,1.161483,0,5,70842579,147462,0,0,58.282741,98.06392,87.5,298.826242,637.495983,70778880,147456,299.095178,637.521923,0,22.134766,"Mid (6)",0,0,"Low (1)",0,2.54171,2.648891,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",85008384,85008384,35463168,35463168,678064,790498,49126,48920,49142,49160,677812,678120,35389440,35389440,73728,73728,34709180,34708728,64512,64512,35389472,35389479,73732,73730,0,0,0,5,139817268,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,297602588,226916843,31943443,290801664,9305653248,9303883776,0,0,0,0,0,0,0,0,0,28311552,18432,0,3631104,139539500,8834654228,4216961342,9216,0,0,0,0,0.253331,0.006868935,96,96,1,8,8,1,27,0,0
"1292","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,1024,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.894948,0.98659,3.029705,3.043738,21025,100,100,99.985731,2e-06,67.7367,0,0,0,0,6,8,0,0,0,0,402653184,262144,9059994,157957,58.333333,0,128.836084,343.562889,429.453612,687.125779,23.191256,414.033229,687.125779,0,0,0,0,30,50,268435456,"Low (1)","Mid (6)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,2147483648,0,1073741824,0,0,688947200,688948410,"Low (2)","Mid (6)",0,"Idle (0)",1073741824,0,15582887936,0,270532608,2148532224,2967470080,0,613286590,8552448,8552448,268697600,67272704,0,0,2.688963,25.828927,19.621738,0.504201,0,46.949748,0.002052,1.580074,0.093234,2.731064,0,5,167992989,262150,0,0,58.295381,94.327348,87.414169,429.453612,687.125779,167772160,262144,430.018878,687.141506,0,13.419922,"High (8)",0,0,"Low (1)",0,4.342812,3.677698,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",201457664,201457664,84012024,84022280,4205878,4351078,79068,78828,79062,79076,4205509,4206049,83886080,83886080,131072,131072,79706772,79708218,114534,114516,83996484,83996505,131072,131078,0,0,0,5,227934004,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,296424364,537624771,75661815,688947200,22046310400,22043164672,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,227628496,14375173050,7231086154,16384,0,0,0,0,0.260785,0.011626,128,128,1,8,8,1,27,0,0
"1293","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,1280,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.745,0.991265,2.291125,2.262539,26273,100,100,99.988581,1e-06,50.35229,0,0,0,0,6,8,0,0,0,0,786432000,409600,27671670,231694,58.333333,0,97.080942,207.106009,323.60314,414.212018,27.32739,234.30283,517.765023,0,0,0,0,30,50,524288000,"Low (1)","Mid (5)","Low (1)","Idle (0)","Idle (0)","Mid (6)",0,0,0,0,4194304000,0,2097152000,0,0,1345177600,1345178815,"Low (2)","Mid (5)",0,"Idle (0)",2097152000,0,30430003200,0,527564800,4195942400,5790105600,0,1197466307,16640000,16640000,524697600,131328000,0,0,1.757749,27.235986,22.070969,1.609128,0,44.605335,0.00077,1.137522,0.076865,1.505676,0,5,327988709,409606,0,0,58.302967,91.45923,86.165527,323.60314,414.212018,327680000,409600,323.908008,414.218085,0,5.176758,"Mid (6)",0,0,"Low (1)",0,2.93456,2.797065,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",393390064,393451536,164025576,164064024,14479098,14104800,115714,115882,115673,115754,14477545,14480279,163840000,163840000,204800,204800,149031685,149031502,176049,175995,164060776,164060811,204805,204801,0,0,1,4,596790876,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,1131676186,1049754624,147713024,1345177600,43045683200,43040768000,0,0,0,0,0,0,0,0,0,131072000,51200,0,16640000,595942270,37787369676,19145469226,25600,0,0,0,0,0.280227,0.030362,160,160,1,8,8,1,27,0,0
"1294","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,1536,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.767098,0.991824,2.492342,2.479021,31521,100,100,99.990483,1e-06,55.170608,0,0,0,0,6,8,0,0,0,0,1358954496,589824,52827633,320790,58.333333,0,105.508964,187.571491,351.696548,375.142983,32.812218,204.030554,562.714476,0,0,0,0,30,50,905969664,"Low (1)","Mid (5)","Low (1)","Idle (0)","Idle (0)","Mid (6)",0,0,0,0,7247757312,0,3623878656,0,0,2323980288,2323982418,"Low (2)","Mid (5)",0,"Idle (0)",3623878656,0,52576911360,0,910688256,7250116608,9998696448,0,2068808996,28680192,28680192,906559488,226861056,0,0,2.029634,26.626622,21.626547,1.389855,0,45.214566,0.000511,1.256638,0.060954,1.794673,0,5,566893385,589830,0,0,58.308026,90.481958,85.97446,351.696548,375.142983,566231040,589824,352.107942,375.1468,0,3.255859,"High (7)",0,0,"Low (1)",0,3.283243,3.049428,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",679698400,679845920,283395056,283425808,26889973,27862031,161054,161065,161010,161039,26891345,26891320,283115520,283115520,294912,294912,257215916,257215528,254122,254065,283446668,283446717,294912,294918,0,0,0,5,931303428,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,1620939816,1813635579,255173423,2323980288,74367369216,74360291328,0,0,0,0,0,0,0,0,0,226492416,73728,0,28680192,929598596,59036461766,29327076647,36864,0,0,0,0,0.297509,0.049013,192,192,1,8,8,1,27,0,0
"1295","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,1792,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.797999,0.994058,2.541002,2.553601,36769,100,100,99.991841,0,56.830799,0,0,0,0,6,8,0,0,0,0,2157969408,802816,88049004,428114,58.333333,0,107.629068,164.006198,358.763559,328.012396,35.131665,174.917664,574.021694,0,0,0,0,30,50,1438646272,"Low (1)","Mid (6)","Low (1)","Idle (0)","Idle (0)","Mid (6)",0,0,0,0,11509170176,0,5754585088,0,0,3689842688,3689843896,"Low (2)","Mid (5)",0,"Idle (0)",5754585088,0,83483230208,0,1445068800,11512381440,15870066688,0,3284722367,45459456,45459456,1439449088,360163328,0,0,2.053041,27.165202,20.220037,1.136618,0,46.23453,0.000315,1.265885,0.050995,1.873377,0,5,900062283,802822,0,0,58.31164,90.449973,86.004265,358.763559,328.012396,899153920,802816,359.125997,328.014848,0,2.091797,"High (7)",0,0,"Low (1)",0,3.416567,3.130886,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",1079321576,1079450648,449969400,449987336,43569391,43744525,214315,214296,214348,214389,43571965,43571811,449576960,449576960,401408,401408,405823217,405823865,345090,345201,450018560,450018631,401412,401410,0,0,0,5,1449384584,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,2353551288,2879600840,405121522,3689842688,118074966016,118065332224,0,0,0,0,0,0,0,0,0,359661568,100352,0,45459456,1447142397,91965681184,46494189468,50176,0,0,0,0,0.322539,0.074992,224,224,1,8,8,1,27,0,0
"1296","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,2048,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.822782,0.993686,2.91037,2.903391,42017,100,100,99.99286,0,64.615762,0,0,0,0,6,8,0,0,0,0,3221225472,1048576,119012731,551900,58.333333,0,117.365104,156.486805,391.217014,312.973611,34.689758,164.728293,625.947222,0,0,0,0,30,50,2147483648,"Low (1)","Mid (6)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,17179869184,0,8589934592,0,0,5507252224,5507253410,"Low (2)","Mid (6)",0,"Idle (0)",8589934592,0,124608577536,0,2155872256,17184063488,23681040384,0,4902617778,67764224,67764224,2148532224,537526272,0,0,2.470223,26.311496,19.649915,0.720281,0,46.924961,0.000115,1.450265,0.043698,2.429044,0,5,1343549807,1048582,0,0,58.314351,91.804293,85.013962,391.217014,312.973611,1342177280,1048576,391.617077,312.975401,0,1.527344,"High (8)",0,0,"Low (1)",0,4.063702,3.532012,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",1611087856,1611186192,671592432,671633424,56021070,60224323,276070,275931,276058,276072,56022134,56019807,671088640,671088640,524288,524288,613552512,613552794,447295,447314,671751297,671751387,524288,524294,0,0,4,1,1911781772,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,2742612183,4297982152,604635639,5507252224,176232071168,176219488256,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,1906825231,121331643612,60316903833,65536,0,0,0,0,0.354243,0.09728,256,256,1,8,8,1,27,0,0
"1297","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,2304,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.864377,0.994603,2.6879,2.71066,47265,100,100,99.993653,0,60.326727,0,0,0,0,6,8,0,0,0,0,4586471424,1327104,193858299,690966,58.333333,0,108.035074,128.041569,360.116913,256.083138,36.530908,133.33148,576.18706,0,0,0,0,30,50,3057647616,"Low (1)","Mid (6)","Low (1)","Idle (0)","Idle (0)","Mid (6)",0,0,0,0,24461180928,0,12230590464,0,0,7840696320,7840697516,"Low (2)","Mid (6)",0,"Idle (0)",12230590464,0,177412571136,0,3068264448,24466489344,33708441600,0,6979904183,96380928,96380928,3058974720,765241344,0,0,2.215078,26.565154,20.386804,0.974147,0,46.401786,0.000158,1.332733,0.038484,2.085656,0,5,1913228003,1327110,0,0,58.316459,89.952372,84.354203,360.116913,256.083138,1911029760,1327104,360.531153,256.084295,0,0.987305,"High (7)",0,0,"Low (1)",0,3.692341,3.2958,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",2293899264,2293899264,956178432,956178432,96810411,96835154,345603,345607,345567,345602,96813733,96812681,955514880,955514880,663552,663552,859661980,859663802,556707,556721,956508260,956508393,663556,663554,0,0,4,1,2943704908,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,4773201935,6119110859,860793340,7840696320,250902282240,250886356992,0,0,0,0,0,0,0,0,0,764411904,165888,0,96380928,2939874653,187007802260,93584570990,82944,0,0,0,0,0.377828,0.151711,288,288,1,8,8,1,27,0,0
"1298","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,2560,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.891325,0.988905,2.817645,2.82472,52513,100,100,99.994287,0,62.865383,0,0,0,0,6,8,0,0,0,0,6291456000,1638400,266948798,846942,58.333333,0,109.430397,116.725757,364.767991,233.451513,37.145377,120.678644,583.628785,0,0,0,0,30,50,4194304000,"Low (1)","Mid (6)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,33554432000,0,16777216000,0,0,10754662400,10754663592,"Low (2)","Mid (6)",0,"Idle (0)",16777216000,0,243354828800,0,4207411200,33560985600,46229094400,0,9573991095,132096000,132096000,4195942400,1049600000,0,0,2.391366,25.83917,20.827129,0.890454,0,46.252245,0.000114,1.425684,0.034957,2.338882,0,5,2624281121,1638406,0,0,58.318146,89.907839,81.455811,364.767991,233.451513,2621440000,1638400,365.163327,233.452369,0,747,"High (7)",0,0,"Low (1)",0,3.935817,3.430809,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",3146547200,3146547200,1311526392,1311552008,133744661,133274436,423443,423471,423470,423456,133736779,133744604,1310720000,1310720000,819200,819200,1178994909,1178992059,660566,660381,1312154868,1312155057,819204,819202,0,0,4,1,3836017652,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,6025935417,8393318899,1180672801,10754662400,344149196800,344129536000,0,0,0,0,0,0,0,0,0,1048576000,204800,0,132096000,3831225897,242029294180,123945929040,102400,0,0,0,0,0.412175,0.201266,320,320,1,8,8,1,27,0,0
"1299","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,2816,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.923399,0.977537,2.743968,2.784644,57761,100,100,99.994806,0,61.973636,0,0,0,0,6,8,0,0,0,0,8373927936,1982464,360279864,1019128,58.333333,0,104.576663,101.407673,348.588878,202.815347,35.99445,104.261564,557.742205,0,0,0,0,30,50,5582618624,"Low (1)","Mid (6)","Low (1)","Idle (0)","Idle (0)","Mid (6)",0,0,0,0,44660948992,0,22330474496,0,0,14313637888,14313639075,"Low (2)","Mid (6)",0,"Idle (0)",22330474496,0,323894968320,0,5598478336,44668878848,61519822848,0,12742288054,175695872,175695872,5584601088,1396893696,0,0,2.361009,26.465577,21.268981,0.867927,0,45.332585,4.3e-05,1.402538,0.032958,2.268382,0,5,3493111107,1982470,0,0,58.319527,89.842504,75.150671,348.588878,202.815347,3489136640,1982464,348.985955,202.815961,0,536,"High (7)",0,0,"Low (1)",0,3.842069,3.33247,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",4187921400,4187989000,1745475024,1745644080,178846082,179054480,509351,509584,509315,509378,178853276,178851118,1744568320,1744568320,991232,991232,1566852167,1566854798,764673,764757,1746445001,1746445213,991233,991237,0,0,1,4,5307475956,0,0,44660948992,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,247808,8356082727,11170937028,1571351033,14313637888,458036412416,458012622848,0,0,0,0,0,0,0,0,0,1395654656,247808,0,175695872,5303643845,334704091548,164695838038,123904,0,0,0,0,0.450297,0.278392,352,352,1,8,8,1,27,0,0
"1300","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,3072,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.92305,0.989644,2.963979,2.991025,63009,100,100,99.995239,0,66.566901,0,0,0,0,6,8,0,0,0,0,10871635968,2359296,464517188,1207422,58.333333,0,111.946147,99.507686,373.153825,199.015372,38.26538,101.850526,597.046119,0,0,0,0,30,50,7247757312,"Low (1)","Mid (6)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,57982058496,0,28991029248,0,0,18582110208,18582112290,"Low (2)","Mid (6)",0,"Idle (0)",28991029248,0,420492607488,0,7266631680,57991495680,79857451008,0,16542205192,227966976,227966976,7250116608,1813413888,0,0,2.617454,26.209727,20.180233,0.611778,0,46.145168,7.3e-05,1.544521,0.03056,2.660486,0,5,4534484709,2359302,0,0,58.320677,89.851972,80.41581,373.153825,199.015372,4529848320,2359296,373.535755,199.015879,0,442,"High (8)",0,0,"Low (1)",0,4.247524,3.627427,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",5436887016,5437108248,2266042336,2266165280,232240384,233209112,603582,603803,603581,603567,232225092,232226295,2264924160,2264924160,1179648,1179648,2035102680,2035109199,934953,934631,2267242004,2267242305,1179648,1179654,0,0,4,1,6477563196,0,0,57982058496,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,294912,8598035234,14502297799,2039906795,18582110208,594627526656,594599215104,0,0,0,0,0,0,0,0,0,1811939328,294912,0,227966976,6473262933,405985273010,196731130915,147456,0,0,0,0,0.494026,0.346205,384,384,1,8,8,1,27,0,0
"1301","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,3328,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.93082,0.955135,2.810853,2.718326,68257,100,100,99.995605,0,60.497961,0,0,0,0,6,8,0,0,0,0,13822328832,2768896,601039584,1412440,58.333333,0,103.556077,84.969089,345.186924,169.938177,36.023627,86.687069,552.299079,0,0,0,0,30,50,9214885888,"Low (1)","Mid (6)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,73719087104,0,36859543552,0,0,23624566784,23624568827,"Low (2)","Mid (6)",0,"Idle (0)",36859543552,0,534607364096,0,9237037056,73730162688,101518802944,0,21031150833,289695744,289695744,9217654784,2305452032,0,0,2.264994,25.756749,23.233819,0.672416,0,44.572187,2.5e-05,1.321207,0.026874,2.151729,0,5,5765927723,2768950,0,0,58.32165,89.61845,65.026711,345.186924,169.938177,5759303680,2768896,345.58394,169.941492,0,321,"High (7)",0,0,"Low (1)",0,3.723156,3.311512,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",6912389088,6912708640,2880986344,2881086232,299797039,300256086,706156,706227,706207,706197,299787601,299789353,2879651840,2879651840,1384448,1384448,2581552999,2581553505,1028739,1028811,2882742776,2882743175,1384448,1384454,0,0,4,1,8904865948,0,0,73719087104,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,346112,14083840170,18437732547,2593417705,23624566784,755986137088,755952910336,0,0,0,0,0,0,0,0,0,2303721472,346112,0,289695744,8898477263,545981988414,273044992402,173056,0,0,0,0,0.531388,0.463402,416,416,1,8,8,1,27,0,0
"1302","GTX-980",9,2,"224,32",256,3505,"matMul_gpu",2,3584,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",99.953155,0.914949,2.860207,2.938577,73505,100,100,99.995919,0,65.399886,0,0,0,0,6,8,0,0,0,0,17263755264,3211264,756097369,1633763,58.333333,0,109.39467,83.34832,364.648901,166.69664,38.329099,84.808599,583.438241,0,0,0,0,30,50,11509170176,"Low (1)","Mid (6)","Low (1)","Idle (0)","Idle (0)","High (7)",0,0,0,0,92073361408,0,46036680704,0,0,29505495040,29505496214,"Low (2)","Mid (6)",0,"Idle (0)",46036680704,0,667698855936,0,11534860288,92086206464,126780702720,0,26266534574,361668608,361668608,11512381440,2879299584,0,0,2.622027,25.539332,24.012848,0.677487,0,42.971112,2.2e-05,1.540239,0.023904,2.613029,0,5,7200959245,3211270,0,0,58.322485,89.632028,78.844499,364.648901,166.69664,7193231360,3211264,365.040653,166.696951,0,272,"High (8)",0,0,"Low (1)",0,4.131904,3.569716,0,"GeForce GTX 980 (0)",1,7,"matMul(float*, float*, float*, int)",8633397232,8633569296,3598185456,3598257168,375750566,374730000,816627,816822,816578,816601,375728257,375729045,3596615680,3596615680,1605632,1605632,3225260840,3225257810,1229298,1229620,3600368488,3600368955,1605633,1605637,0,0,1,4,10300780548,0,0,92073361408,0,0,0,0,12845056,0,0,0,0,0,0,0,0,0,0,401408,15002634160,23027573261,3238961968,29505495040,944175841280,944137306112,0,0,0,0,0,0,0,0,0,2877292544,401408,0,361668608,10294627014,624761933124,315765140192,200704,0,0,0,0,0.581666,0.568114,448,448,1,8,8,1,27,0,0
